ID,PlayerID,Player,Position,Age,MarketValue,TransferFee,TeamLeftID,TeamLeft,TeamLeft2,LeagueLeftID,LeagueLeft,CountryLeft,TeamJoinedID,TeamJoined,TeamJoined2,LeagueJoinedID,LeagueJoined,CountryJoined
1,462250,João Félix,Second Striker,19,70000000,126000000,294,Benfica,SL Benfica,PO1,Liga NOS,Portugal,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain
2,125781,Antoine Griezmann,Centre-Forward,28,130000000,120000000,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain,131,FC Barcelona,FC Barcelona,ES1,LaLiga,Spain
3,50202,Eden Hazard,Left Winger,28,150000000,100000000,631,Chelsea,Chelsea FC,GB1,Premier League,England,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain
4,177907,Harry Maguire,Centre-Back,26,50000000,87000000,1003,Leicester,Leicester City,GB1,Premier League,England,985,Man Utd,Manchester United,GB1,Premier League,England
5,326031,Matthijs de Ligt,Centre-Back,20,75000000,85500000,610,Ajax,Ajax Amsterdam,NL1,Eredivisie,Netherlands,506,Juventus,Juventus FC,IT1,Serie A,Italy
6,281963,Lucas Hernández,Centre-Back,23,70000000,80000000,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain,27,Bayern Munich,Bayern Munich,L1,Bundesliga,Germany
7,343052,Nicolas Pépé,Right Winger,24,65000000,80000000,1082,LOSC Lille,LOSC Lille,FR1,Ligue 1,France,11,Arsenal,Arsenal FC,GB1,Premier League,England
8,326330,Frenkie de Jong,Central Midfield,22,85000000,75000000,610,Ajax,Ajax Amsterdam,NL1,Eredivisie,Netherlands,131,FC Barcelona,FC Barcelona,ES1,LaLiga,Spain
9,357565,Rodri,Defensive Midfield,23,80000000,70000000,13,Atlético Madrid,Atlético Madrid,ES1,LaLiga,Spain,281,Man City,Manchester City,GB1,Premier League,England
10,182712,João Cancelo,Right-Back,25,55000000,65000000,506,Juventus,Juventus FC,IT1,Serie A,Italy,281,Man City,Manchester City,GB1,Premier League,England
11,96341,Romelu Lukaku,Centre-Forward,26,75000000,65000000,985,Man Utd,Manchester United,GB1,Premier League,England,46,Inter,Inter Milan,IT1,Serie A,Italy
12,257462,Luka Jovic,Centre-Forward,21,60000000,60000000,24,E. Frankfurt,Eintracht Frankfurt,L1,Bundesliga,Germany,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain
13,450936,Tanguy Ndombélé,Central Midfield,22,65000000,60000000,1041,Olympique Lyon,Olympique Lyon,FR1,Ligue 1,France,148,Spurs,Tottenham Hotspur,GB1,Premier League,England
14,477758,Aaron Wan-Bissaka,Right-Back,21,35000000,55000000,873,Crystal Palace,Crystal Palace,GB1,Premier League,England,985,Man Utd,Manchester United,GB1,Premier League,England
15,401530,Éder Militão,Centre-Back,21,50000000,50000000,720,FC Porto,FC Porto,PO1,Liga NOS,Portugal,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain
16,291417,Ferland Mendy,Left-Back,24,30000000,48000000,1041,Olympique Lyon,Olympique Lyon,FR1,Ligue 1,France,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain
17,412363,Rodrygo,Left Winger,18,40000000,45000000,221,Santos FC,Santos FC,BRA1,Série A,Brazil,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain
18,51471,Mateo Kovacic,Central Midfield,25,35000000,45000000,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain,631,Chelsea,Chelsea FC,GB1,Premier League,England
19,249565,Youri Tielemans,Central Midfield,22,38000000,45000000,162,Monaco,AS Monaco,FR1,Ligue 1,Monaco,1003,Leicester,Leicester City,GB1,Premier League,England
20,333241,Joelinton,Centre-Forward,23,35000000,44000000,533,TSG Hoffenheim,TSG 1899 Hoffenheim,L1,Bundesliga,Germany,762,Newcastle,Newcastle United,GB1,Premier League,England
21,181375,Sébastien Haller,Centre-Forward,25,40000000,40000000,24,E. Frankfurt,Eintracht Frankfurt,L1,Bundesliga,Germany,379,West Ham,West Ham United,GB1,Premier League,England
22,323704,Malcom,Right Winger,22,40000000,40000000,131,FC Barcelona,FC Barcelona,ES1,LaLiga,Spain,964,Zenit S-Pb,Zenit St. Petersburg,RU1,Premier Liga,Russia
23,146854,Wissam Ben Yedder,Centre-Forward,29,40000000,40000000,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain,162,Monaco,AS Monaco,FR1,Ligue 1,Monaco
24,206040,Raúl Jiménez,Centre-Forward,28,35000000,38000000,294,Benfica,SL Benfica,PO1,Liga NOS,Portugal,543,Wolves,Wolverhampton Wanderers,GB1,Premier League,England
25,316889,Hirving Lozano,Left Winger,24,40000000,38000000,383,PSV Eindhoven,PSV Eindhoven,NL1,Eredivisie,Netherlands,6195,SSC Napoli,SSC Napoli,IT1,Serie A,Italy
26,145707,Danilo,Right-Back,28,20000000,37000000,281,Man City,Manchester City,GB1,Premier League,England,506,Juventus,Juventus FC,IT1,Serie A,Italy
27,104752,Konstantinos Manolas,Centre-Back,28,45000000,36000000,12,AS Roma,AS Roma,IT1,Serie A,Italy,6195,SSC Napoli,SSC Napoli,IT1,Serie A,Italy
28,353366,Benjamin Pavard,Centre-Back,23,30000000,35000000,79,VfB Stuttgart,VfB Stuttgart,L2,2. Bundesliga,Germany,27,Bayern Munich,Bayern Munich,L1,Bundesliga,Germany
29,146227,Jasper Cillessen,Goalkeeper,30,18000000,35000000,131,FC Barcelona,FC Barcelona,ES1,LaLiga,Spain,1049,Valencia,Valencia CF,ES1,LaLiga,Spain
30,246968,Ayoze Pérez,Right Winger,26,20000000,33400000,762,Newcastle,Newcastle United,GB1,Premier League,England,1003,Leicester,Leicester City,GB1,Premier League,England
