ID,Player,Position,Age,MarketValue,TeamLeft,LeagueLeft,TeamJoined,LeagueJoined,TransferFee,PlayerID,TeamLeftID,LeagueLeftID,TeamJoinedID,LeagueJoinedID,TeamLeft2,CountryLeft,TeamJoined2,CountryJoined
1,João Félix,Second Striker,19,70000000.0,Benfica,Liga NOS,Atlético Madrid,LaLiga,126000000.0,462250,294,PO1,13,ES1,SL Benfica,Portugal,Atlético Madrid,Spain
2,Antoine Griezmann,Centre-Forward,28,130000000.0,Atlético Madrid,LaLiga,FC Barcelona,LaLiga,120000000.0,125781,13,ES1,131,ES1,Atlético Madrid,Spain,FC Barcelona,Spain
3,Eden Hazard,Left Winger,28,150000000.0,Chelsea,Premier League,Real Madrid,LaLiga,100000000.0,50202,631,GB1,418,ES1,Chelsea FC,England,Real Madrid,Spain
4,Harry Maguire,Centre-Back,26,50000000.0,Leicester,Premier League,Man Utd,Premier League,87000000.0,177907,1003,GB1,985,GB1,Leicester City,England,Manchester United,England
5,Matthijs de Ligt,Centre-Back,20,75000000.0,Ajax,Eredivisie,Juventus,Serie A,85500000.0,326031,610,NL1,506,IT1,Ajax Amsterdam,Netherlands,Juventus FC,Italy
6,Lucas Hernández,Centre-Back,23,70000000.0,Atlético Madrid,LaLiga,Bayern Munich,Bundesliga,80000000.0,281963,13,ES1,27,L1,Atlético Madrid,Spain,Bayern Munich,Germany
7,Nicolas Pépé,Right Winger,24,65000000.0,LOSC Lille,Ligue 1,Arsenal,Premier League,80000000.0,343052,1082,FR1,11,GB1,LOSC Lille,France,Arsenal FC,England
8,Frenkie de Jong,Central Midfield,22,85000000.0,Ajax,Eredivisie,FC Barcelona,LaLiga,75000000.0,326330,610,NL1,131,ES1,Ajax Amsterdam,Netherlands,FC Barcelona,Spain
9,Rodri,Defensive Midfield,23,80000000.0,Atlético Madrid,LaLiga,Man City,Premier League,70000000.0,357565,13,ES1,281,GB1,Atlético Madrid,Spain,Manchester City,England
10,João Cancelo,Right-Back,25,55000000.0,Juventus,Serie A,Man City,Premier League,65000000.0,182712,506,IT1,281,GB1,Juventus FC,Italy,Manchester City,England
11,Romelu Lukaku,Centre-Forward,26,75000000.0,Man Utd,Premier League,Inter,Serie A,65000000.0,96341,985,GB1,46,IT1,Manchester United,England,Inter Milan,Italy
12,Luka Jovic,Centre-Forward,21,60000000.0,E. Frankfurt,Bundesliga,Real Madrid,LaLiga,60000000.0,257462,24,L1,418,ES1,Eintracht Frankfurt,Germany,Real Madrid,Spain
13,Tanguy Ndombélé,Central Midfield,22,65000000.0,Olympique Lyon,Ligue 1,Spurs,Premier League,60000000.0,450936,1041,FR1,148,GB1,Olympique Lyon,France,Tottenham Hotspur,England
14,Aaron Wan-Bissaka,Right-Back,21,35000000.0,Crystal Palace,Premier League,Man Utd,Premier League,55000000.0,477758,873,GB1,985,GB1,Crystal Palace,England,Manchester United,England
15,Éder Militão,Centre-Back,21,50000000.0,FC Porto,Liga NOS,Real Madrid,LaLiga,50000000.0,401530,720,PO1,418,ES1,FC Porto,Portugal,Real Madrid,Spain
16,Ferland Mendy,Left-Back,24,30000000.0,Olympique Lyon,Ligue 1,Real Madrid,LaLiga,48000000.0,291417,1041,FR1,418,ES1,Olympique Lyon,France,Real Madrid,Spain
17,Rodrygo,Left Winger,18,40000000.0,Santos FC,Série A,Real Madrid,LaLiga,45000000.0,412363,221,BRA1,418,ES1,Santos FC,Brazil,Real Madrid,Spain
18,Mateo Kovacic,Central Midfield,25,35000000.0,Real Madrid,LaLiga,Chelsea,Premier League,45000000.0,51471,418,ES1,631,GB1,Real Madrid,Spain,Chelsea FC,England
19,Youri Tielemans,Central Midfield,22,38000000.0,Monaco,Ligue 1,Leicester,Premier League,45000000.0,249565,162,FR1,1003,GB1,AS Monaco,Monaco,Leicester City,England
20,Joelinton,Centre-Forward,23,35000000.0,TSG Hoffenheim,Bundesliga,Newcastle,Premier League,44000000.0,333241,533,L1,762,GB1,TSG 1899 Hoffenheim,Germany,Newcastle United,England
21,Sébastien Haller,Centre-Forward,25,40000000.0,E. Frankfurt,Bundesliga,West Ham,Premier League,40000000.0,181375,24,L1,379,GB1,Eintracht Frankfurt,Germany,West Ham United,England
22,Malcom,Right Winger,22,40000000.0,FC Barcelona,LaLiga,Zenit S-Pb,Premier Liga,40000000.0,323704,131,ES1,964,RU1,FC Barcelona,Spain,Zenit St. Petersburg,Russia
23,Wissam Ben Yedder,Centre-Forward,29,40000000.0,Sevilla FC,LaLiga,Monaco,Ligue 1,40000000.0,146854,368,ES1,162,FR1,Sevilla FC,Spain,AS Monaco,Monaco
24,Raúl Jiménez,Centre-Forward,28,35000000.0,Benfica,Liga NOS,Wolves,Premier League,38000000.0,206040,294,PO1,543,GB1,SL Benfica,Portugal,Wolverhampton Wanderers,England
25,Hirving Lozano,Left Winger,24,40000000.0,PSV Eindhoven,Eredivisie,SSC Napoli,Serie A,38000000.0,316889,383,NL1,6195,IT1,PSV Eindhoven,Netherlands,SSC Napoli,Italy
26,Danilo,Right-Back,28,20000000.0,Man City,Premier League,Juventus,Serie A,37000000.0,145707,281,GB1,506,IT1,Manchester City,England,Juventus FC,Italy
27,Konstantinos Manolas,Centre-Back,28,45000000.0,AS Roma,Serie A,SSC Napoli,Serie A,36000000.0,104752,12,IT1,6195,IT1,AS Roma,Italy,SSC Napoli,Italy
28,Benjamin Pavard,Centre-Back,23,30000000.0,VfB Stuttgart,2. Bundesliga,Bayern Munich,Bundesliga,35000000.0,353366,79,L2,27,L1,VfB Stuttgart,Germany,Bayern Munich,Germany
29,Jasper Cillessen,Goalkeeper,30,18000000.0,FC Barcelona,LaLiga,Valencia,LaLiga,35000000.0,146227,131,ES1,1049,ES1,FC Barcelona,Spain,Valencia CF,Spain
30,Ayoze Pérez,Right Winger,26,20000000.0,Newcastle,Premier League,Leicester,Premier League,33400000.0,246968,762,GB1,1003,GB1,Newcastle United,England,Leicester City,England
31,Kerem Demirbay,Central Midfield,26,32000000.0,TSG Hoffenheim,Bundesliga,Bay. Leverkusen,Bundesliga,32000000.0,125858,533,L1,15,L1,TSG 1899 Hoffenheim,Germany,Bayer 04 Leverkusen,Germany
32,Abdou Diallo,Centre-Back,23,35000000.0,Bor. Dortmund,Bundesliga,Paris SG,Ligue 1,32000000.0,229005,16,L1,583,FR1,Borussia Dortmund,Germany,Paris Saint-Germain,France
33,Mats Hummels,Centre-Back,30,35000000.0,Bayern Munich,Bundesliga,Bor. Dortmund,Bundesliga,30500000.0,39728,27,L1,16,L1,Bayern Munich,Germany,Borussia Dortmund,Germany
